title,date,name,topic,thumbnail,notes,collectionsURL,objectType
Philadelphia Aurora newspaper,"{""Date"": ""April 4, 1810""}",,,"https://ids.si.edu/ids/iiif/NPM-2025_2004_5_a/full/250,/0/default.jpg","{""Description"": ""An issue of the Philadelphia Aurora newspaper, dated April 4th, 1810. It includes a list of letters arrived in Philadelphia, PA, post office.""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.5,"{""Type"": ""Covers & Associated Letters""}"
Story and Humphreys's Pennsylvania Mercury and Universal Advertiser newspaper,"{""Date"": ""October 27, 1775""}",,,"https://ids.si.edu/ids/iiif/NPM-2025_2004_4_a/full/250,/0/default.jpg","{""Description"": ""Story and Humphreys's Pennsylvania Mercury and Universal Advertiser newspaper, Vol. 1, No. [?], Friday, October 27, 1775; two pages printed front and back. Illustration of \""Philadelphia and New York Stage Coaches\""; reprints of letters; marginalia; loyalist newspaper during American Revolution""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.4,"{""Type"": ""Covers & Associated Letters""}"
"The Providence Gazette, and Country Journal newspaper","{""Date"": ""1791""}",,,"https://ids.si.edu/ids/iiif/NPM-2025_2004_3_a/full/250,/0/default.jpg","{""Description"": ""An issue of The Providence Gazette, and Country Journal, dating to 1791. It includes an article by Ebenezer Hazard, letter extracts, and was published at a post office.""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.3,"{""Type"": ""Covers & Associated Letters""}"
Westminster Journal and London Political Miscellany newspaper,"{""Date"": ""November 12, 1774""}",,,"https://ids.si.edu/ids/iiif/NPM-2025_2004_2_a/full/250,/0/default.jpg","{""Description"": ""The Westminster Journal and London Political Miscellany newspaper issue number 1568, dated November 12, 1774, is on a singled folded sheet of paper.""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.2,"{""Type"": ""Covers & Associated Letters""}"
"George III ""composite die"" 6-shilling embossed revenue stamp","{""Date"": ""1792""}",,,"https://ids.si.edu/ids/iiif/NPM-2025_2004_19_a/full/250,/0/default.jpg","{""Description"": ""An embossed revenue stamp impressed on dark blue paper glued and stapled to the beige paper. The back of the staple is covered with a cypher bearing the Coat of Arms of George III.""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.19,"{""Type"": ""Archival Material""}"
Philadelphia from New Orleans folded letter,"{""Date"": ""July 20, 1810""}",,,"https://ids.si.edu/ids/iiif/NPM-2025_2004_18_c/full/250,/0/default.jpg","{""Description"": ""A folded letter from New Orleans, postmarked July 21 to \""Mr. William Hunter / north Seventh St / Philadelphia.\"" Written on July 20, 1810 to William Hunter's wife, Martha.""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.18,"{""Type"": ""Covers & Associated Letters""}"
York to Saco levying of fine for post road in despair letter,"{""Date"": ""June 8, 1804""}",,,"https://ids.si.edu/ids/iiif/NPM-2025_2004_17_c/full/250,/0/default.jpg","{""Description"": ""A folded letter from York to Selectmen of Saco on June 8, 1804""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.17,"{""Type"": ""Covers & Associated Letters""}"
Mail carrier document for Falmouth to Portsmouth,"{""Date"": ""1780""}",,,"https://ids.si.edu/ids/iiif/NPM-2025_2004_16_b/full/250,/0/default.jpg","{""Description"": ""Mail carrier document for Falmouth MA [ME] to Portsmouth NH for Joseph Barnard and Sam Freeman""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.16,"{""Type"": ""Archival Material""}"
Pennsylvania Packet and the General Advertiser newspaper,"{""Date"": ""1772""}",,"{""Topic"": ""New Acquisitions\nCovers & Letters""}","https://ids.si.edu/ids/iiif/NPM-2025_2004_1_a/full/250,/0/default.jpg","{""Description"": ""1772 issue of the Pennsylvania Packet and the General Advertiser, a Philadelphia, PA, newspaper was printed by John Dunlap starting in 1771. This sheet appears to be partial and may date to February or March (further research is needed, but advertisements and articles refer to late February).\nA notice is half-way down the first column of the side with the printer's name at the bottom:\n\""General Post-Office, New-York, Nov. 1, 1771.\nNOTICE is hereby given, that on account of the new regulation of the post from Canada, which is to arrive every Tuesday evening at this office ; and the weekly post from the eastward and southward, arriving every Wednesday ; the mail going from hence by the Packets, will for the future, be closed at twelve o'clock at night, on the first Wednesday in every month (being the same time it closes at the General Post-Office in London, for America) and a Packet dispatched therewith the next day, for Falmouth.\nBy command of the Deputy Post Master General,\nALEXANDER COLDEN, Sec'ry.\""""}",https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.1,"{""Type"": ""Covers & Associated Letters""}"
"Princeton NJ to Chery Valley, NY folded letter","{""Date"": ""April 27, 1801""}",,,"https://ids.si.edu/ids/iiif/NPM-2024_2006_7_1_h/full/250,/0/default.jpg","{""Description"": ""Italy and the Old Italian States are one of the most important specialties in the field of philately, with deep roots in the classic period. International mail systems first emerged in Italy during the late Middle Ages as city-states including Florence, Venice, and Milan established organized postal services to facilitate the exchange of diplomatic and business letters and documents. Italy pioneered the use of postmarks, stamped paper, postal treaties, and the creation of an established itinerary of post offices and post roads. Later, Italy became one of the main theaters of the Napoleonic wars as French, Austrian, and Spanish armies fought for domination of the Italian peninsula. The Italian states began issuing postage stamps in 1850, just ten years after Great Britain and three years after the United States, making it one of the earliest stamp-issuing areas in the world. After unification, Italy became a founding member of the Universal Postal Union. Postal history and stamps from all of these eras are well-represented in the Geraci collection through high quality material.\nMr. Geraci also left substantial collections of archival documents and his research library of books, scholarly journals, and conference proceedings to the Smithsonian. These holdings together make the National Postal Museum an important center for study into philately of the Italian area.""}",https://collections.si.edu/search/detail/edanmdm:npm_2024.2006.7.1,"{""Type"": ""Covers & Associated Letters""}"
